name,planet_status,mass,radius,orbital_period,semi_major_axis,eccentricity,star_metallicity,detection_type,discovered
KELT-8 b,Confirmed,0.874,1.86,3.24406,0.04571,0.035,0.27,Primary Transit,2015-01-01
KELT-9 Ab,Confirmed,2.88,1.936,1.4811235,0.03368,0.0,-0.03,Primary Transit,2017-01-01
Kepler-101 b,Confirmed,0.16,0.51,3.4876812,0.0474,0.086,0.33,Primary Transit,2014-01-01
Kepler-101 c,Confirmed,0.01,0.112,6.02976,0.0684,0.0,0.33,Primary Transit,2014-01-01
Kepler-102 e,Confirmed,0.028,0.198,16.1457,0.117,0.0,0.18,Primary Transit,2013-01-01
Kepler-103 b,Confirmed,0.031,0.301,15.9654,0.133,0.17,0.07,Primary Transit,2014-01-01
Kepler-103 c,Confirmed,0.114,0.459,179.612,0.6679,0.1,0.07,Primary Transit,2014-01-01
Kepler-104 Ab,Confirmed,0.031314,0.2123,11.427548,0.09286,0.0,-0.38,Primary Transit,2014-01-01
Kepler-104 Ac,Confirmed,0.0224785,0.2105,23.668205,0.15088,0.0,-0.38,Primary Transit,2014-01-01
Kepler-104 Ad,Confirmed,5.54,0.23508,51.755394,0.2542,0.0,-0.38,Primary Transit,2014-01-01
Kepler-105 b,Confirmed,0.016,0.429,5.4122,0.066,0.47,-0.19,Primary Transit,2013-01-01
Kepler-107 b,Confirmed,0.01104,0.137,3.1800218,0.04544,0.0,0.321,Primary Transit,2014-01-01
Kepler-107 c,Confirmed,0.02954,0.142,4.901452,0.06064,0.0,0.321,Primary Transit,2014-01-01
Kepler-107 d,Confirmed,0.01196,0.077,7.95839,0.08377,0.0,0.321,Primary Transit,2014-01-01
Kepler-107 e,Confirmed,0.02706,0.259,14.749143,0.12639,0.0,0.321,Primary Transit,2014-01-01
Kepler-10 b,Confirmed,0.01019,0.1311,0.837491,0.01685,0.06,-0.15,Primary Transit,2011-01-01
Kepler-10 c,Confirmed,0.03552,0.2101,45.2943,0.241,0.136,-0.15,Primary Transit,2011-01-01
Kepler-117 b,Confirmed,0.094,0.719,18.7959228,0.1445,0.0493,-0.04,Primary Transit,2014-01-01
Kepler-117 c,Confirmed,1.84,1.101,50.790391,0.2804,0.0323,-0.04,Primary Transit,2014-01-01
Kepler-11 b,Confirmed,0.006,0.161,10.3039,0.091,0.045,0.0,Primary Transit,2010-01-01
Kepler-11 c,Confirmed,0.009,0.256,13.0241,0.107,0.026,0.0,Primary Transit,2010-01-01
Kepler-11 d,Confirmed,0.023,0.278,22.6845,0.155,0.004,0.0,Primary Transit,2010-01-01
Kepler-11 e,Confirmed,0.025,0.374,31.9996,0.195,0.012,0.0,Primary Transit,2010-01-01
Kepler-11 f,Confirmed,0.006,0.222,46.6888,0.25,0.013,0.0,Primary Transit,2010-01-01
Kepler-11 g,Confirmed,0.079,0.297,118.3807,0.466,0.15,0.0,Primary Transit,2010-01-01
Kepler-12 b,Confirmed,0.432,1.754,4.4379629,0.0553,0.01,0.07,Primary Transit,2011-01-01
Kepler-138 b,Confirmed,0.00021,0.047,10.3126,0.0746,0.0,-0.28,Primary Transit,2014-01-01
Kepler-13 Ab,Confirmed,9.28,1.512,1.763588,0.03641,0.00064,0.2,Primary Transit,2011-01-01
Kepler-1513 Ab,Confirmed,0.152,0.76671,160.8842,0.5416,0.306,0.17,Primary Transit,2016-01-01
